carat,cut,color,clarity,depth,table,x,y,z,price
1.18,Premium,D,SI2,61.2,58.0,6.88,6.82,4.19,5515
0.74,Very Good,E,SI1,60.1,60.0,5.85,5.91,3.52,3080
0.9,Good,I,VS2,62.9,59.0,6.0,6.08,3.8,3327
0.71,Premium,E,VS2,60.3,62.0,5.72,5.78,3.48,2863
0.72,Ideal,D,VS1,61.3,54.0,5.76,5.82,3.55,3724
1.63,Very Good,D,SI1,63.1,56.0,7.46,7.51,4.75,13629
0.38,Premium,F,VVS2,61.9,59.0,4.62,4.66,2.88,1015
1.0,Premium,F,SI1,60.0,60.0,6.51,6.45,3.88,5021
0.41,Ideal,F,VVS1,62.4,56.0,4.75,4.77,2.97,1245
0.92,Premium,D,SI2,61.3,58.0,6.28,6.24,3.83,4072
0.31,Ideal,E,VVS1,61.3,55.0,4.37,4.4,2.69,887
1.21,Ideal,G,VS1,61.3,55.0,6.86,6.89,4.21,9681
2.16,Premium,E,SI2,60.3,60.0,8.43,8.32,5.04,17094
0.7,Very Good,G,SI1,63.8,58.0,5.61,5.51,3.56,2015
2.03,Ideal,E,SI1,60.6,56.0,8.24,8.21,4.97,12614
0.42,Ideal,G,VVS1,62.1,56.0,4.79,4.77,2.97,1147
1.0,Premium,G,VS1,62.0,60.0,6.41,6.37,3.96,6442
0.5,Ideal,D,VS2,62.6,57.0,5.08,5.04,3.18,1696
0.33,Premium,H,VS2,60.2,60.0,4.5,4.45,2.69,668
1.01,Good,F,VS2,63.1,56.0,6.38,6.35,4.01,5700
0.3,Premium,H,SI2,62.2,60.0,4.25,4.28,2.65,360
0.54,Premium,D,SI1,61.9,55.0,5.24,5.21,3.23,1794
0.78,Ideal,G,SI1,61.7,56.0,5.92,5.95,3.67,2901
0.51,Premium,J,VS2,60.6,60.0,5.19,5.17,3.14,1178
1.01,Very Good,G,SI1,60.0,60.0,6.48,6.52,3.9,4442
0.7,Very Good,F,SI1,60.3,59.0,5.74,5.77,3.47,2307
0.3,Ideal,I,VVS1,61.5,55.0,4.33,4.29,2.65,709
1.02,Ideal,H,SI2,61.1,56.0,6.49,6.52,3.98,3950
0.3,Ideal,D,VS1,61.5,56.0,4.33,4.37,2.67,712
0.7,Good,D,VS1,63.8,59.0,5.64,5.59,3.58,3180
0.71,Premium,D,SI1,60.4,59.0,5.8,5.75,3.49,2822
1.01,Ideal,G,IF,61.6,57.0,6.41,6.43,3.96,7980
1.58,Premium,H,VS1,62.6,58.0,7.37,7.43,4.62,11263
0.33,Good,E,SI1,63.1,57.0,4.37,4.42,2.76,581
0.6,Ideal,D,SI1,62.8,56.0,5.38,5.44,3.38,1936
0.76,Ideal,H,VS2,61.4,56.0,5.89,5.92,3.62,3360
1.5,Ideal,I,VS1,61.7,55.0,7.35,7.38,4.54,10349
0.32,Ideal,G,SI1,61.4,57.0,4.41,4.46,2.72,644
1.3,Premium,F,SI2,61.9,60.0,7.04,6.98,4.33,6324
0.5,Ideal,H,VS2,62.3,57.0,5.1,5.05,3.17,1286
1.52,Premium,F,VS2,62.2,58.0,7.37,7.32,4.57,13714
0.33,Premium,G,VVS1,62.7,59.0,4.38,4.46,2.77,868
0.41,Very Good,E,SI1,62.1,58.0,4.75,4.75,2.95,755
1.01,Very Good,F,SI1,63.1,58.0,6.34,6.3,3.99,4674
1.15,Ideal,G,VS2,62.1,57.0,6.72,6.69,4.16,7277
0.61,Ideal,G,VS1,61.8,54.0,5.46,5.5,3.38,1931
0.39,Very Good,G,VS2,63.4,55.0,4.56,4.64,2.91,898
1.06,Ideal,I,I1,62.3,57.0,6.53,6.47,4.05,3455
0.38,Ideal,I,VVS1,62.4,53.7,4.67,4.7,2.93,753
0.7,Ideal,I,VS1,60.0,57.0,5.74,5.77,3.46,2316
1.52,Ideal,H,VS2,62.1,58.0,7.34,7.32,4.56,12084
1.0,Ideal,D,SI1,62.2,58.0,6.39,6.34,3.96,5306
0.5,Very Good,G,SI2,60.9,58.0,5.08,5.13,3.1,1235
1.01,Good,E,VS1,63.3,57.0,6.38,6.32,4.02,7817
0.38,Ideal,E,VS2,62.7,56.0,4.63,4.67,2.91,811
0.61,Ideal,D,SI1,59.4,57.0,5.56,5.52,3.28,2027
0.55,Ideal,G,VS2,62.1,57.0,5.21,5.24,3.24,1786
0.51,Ideal,F,VS1,62.9,54.0,5.12,5.08,3.21,1836
1.51,Premium,F,SI2,61.1,60.0,7.36,7.4,4.51,9123
1.61,Ideal,F,VS2,61.3,56.0,7.6,7.62,4.67,18055
1.26,Ideal,H,SI2,61.3,56.0,6.97,7.02,4.29,5902
